Frame Number,time_relative,protocols,enb_ue_s1ap_id,cellidentity,mme_ue_s1ap_id,teid,IMSI
1,0.000000000,sll|ethertype|ip|sctp|diameter,,,,,
2,0.000444000,sll|ethertype|ip|sctp|diameter,,,,,
3,0.020025000,sll|ethertype|ip|sctp|diameter,,,,,
4,0.020436000,sll|ethertype|ip|sctp|diameter,,,,,
5,9.434791000,sll|ethertype|ip|sctp|s1ap,,,,,
6,9.435058000,sll|ethertype|ip|sctp|s1ap,,,,,
7,64.690805000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,,,910540000001000
8,64.691521000,sll|ethertype|ip|sctp|diameter,1,0x00000101,,,
9,64.693708000,sll|ethertype|ip|sctp|diameter,1,0x00000101,,,
10,64.694205000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
11,64.850673000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
12,64.850975000,sll|ethertype|ip|sctp|diameter,1,0x00000101,1,,
13,64.852197000,sll|ethertype|ip|sctp|diameter,1,0x00000101,1,,
14,64.852516000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
15,65.050712000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
16,65.051400000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
17,65.130617000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
18,65.131352000,sll|ethertype|ip|sctp|diameter,1,0x00000101,1,,
19,65.132193000,sll|ethertype|ip|sctp|diameter,1,0x00000101,1,,
20,65.133228000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
21,65.210653000,sll|ethertype|ip|sctp|s1ap|nas-eps|ipcp,1,0x00000101,1,,910540000001000
22,65.211371000,sll|ethertype|ip|udp|gtp|gtpv2|ipcp,1,0x00000101,1,,
23,65.211625000,sll|ethertype|ip|udp|gtp|gtpv2|ipcp,1,0x00000101,1,,
24,65.212126000,sll|ethertype|ip|sctp|diameter,1,0x00000101,1,,
